rownames,UP0055_CTRL,UH16_300,UH18_22546,UP0055_HHE1.combined,UP0055_HHE2.combined
1:82000001-82500000,1.0326225188047413,0.9550933135929403,1.0392943527656497,0.9315667425682119,0.9705391548470307
1:82500001-83000000,,,,,
1:83000001-83500000,0.978886017906182,0.9495269877217312,1.0026244660863355,1.006420575471137,1.0075855992411753
1:83500001-84000000,,,,,
1:84000001-84500000,1.0318227997747664,0.9574393985795951,0.9864470710227154,1.0219479168148828,0.9741325676861641
1:84500001-85000000,1.0427066633328808,0.9714567599491613,1.0047336192668126,1.029055393798952,1.0001611518792866
1:85000001-85500000,0.9087077894618674,0.9459203227967662,1.0098780398201739,0.9931541560440481,1.0337565299077847
1:85500001-86000000,1.0138512877938588,0.9834341355561772,1.1133658656044831,1.010661491876663,0.9991775718483608
1:86000001-86500000,1.0061971693759564,1.0596945685403194,1.0564611774064752,0.9939486282962663,0.9843827681930127
1:86500001-87000000,0.983062974964719,0.9142787189251024,1.0265929162422527,0.9790297862122518,0.9727666591779943
1:87000001-87500000,1.0040275080611247,0.9996473542710818,1.010835076383844,0.9610301239314706,0.9332588787458639
1:87500001-88000000,1.055459411779927,0.9352176608249307,1.0230842895803829,0.9702655197277467,1.0284515132008483
1:88000001-88500000,1.0202041814320193,1.0319721365093963,1.0020654751606097,0.9732082074096827,0.983531444633604
1:88500001-89000000,1.0253824991871912,1.0357424692833834,0.9587355892012274,0.9923491875756816,1.0365582251889591
1:89000001-89500000,1.046374194350843,1.119821717103204,1.079231336804923,1.062653212536083,1.057443767802382
1:89500001-90000000,0.9938286217397135,1.0277110693507028,1.044361988069083,1.0272319960732166,1.0619439228398053
1:90000001-90500000,1.0241357525969526,0.9486568328916458,1.026357355108748,1.0224313814827037,1.0158543893171634
1:90500001-91000000,1.0053841778021393,0.9352861220572475,1.0063176665463713,1.0043213890227352,1.02274877357309
1:91000001-91500000,1.033298975885806,0.9840699656493219,1.011175420109655,0.9465885844253782,0.9680019911213928
1:91500001-92000000,,,,,
1:92000001-92500000,0.9669476678150033,0.98886009490006,1.0216604907976647,0.991046255828843,0.9786695190263985
1:92500001-93000000,,,,,
