rownames,UP0056_CTRL,UH18_12903,UP0056_HHE2.combined,UP0056_HHE1.combined
1:157000001-157500000,,,,
1:157500001-158000000,1.01005223862598,1.0456917262462795,1.046102959657441,1.0222964273587098
1:158000001-158500000,1.0119352306451714,0.9626318772576965,1.0303064582457253,1.0384507313009215
1:158500001-159000000,1.010967770029039,1.0199006540697944,1.0689490960435488,1.1022515867756257
1:159000001-159500000,1.0411729700494818,0.9729645892234852,1.0375738630155007,1.1134939913842414
1:159500001-160000000,1.03738607207718,0.9560375938367662,1.0220777713031453,1.0083110809902316
1:160000001-160500000,1.064898878193001,1.0390945139645353,1.0569811911759532,1.0787368791300698
1:160500001-161000000,1.0397510051969754,0.9506658082169497,1.0905473640075705,1.0651436638529157
1:161000001-161500000,0.9652842754788105,1.0005340524331277,0.9766056106325646,0.98520543826145
1:161500001-162000000,0.8644163640817382,0.79921264406518,0.8949391554457733,0.8801276980767612
1:162000001-162500000,0.9949150598609356,0.9967131578051449,1.07631760008671,1.0760447010519756
1:162500001-163000000,0.9123018174623193,1.016539409120468,0.9406615137320272,0.9557021083045592
1:163000001-163500000,1.017744053380921,1.0446522535543943,0.9916858588643308,0.992424752201129
1:163500001-164000000,0.97998464881362,1.0077700881933926,1.0033934590600624,1.0368974010092362
1:164000001-164500000,1.0548563055314772,0.9868216315586101,0.9925163175640194,1.0002180554641658
1:164500001-165000000,1.0363777485918437,1.0329665421420016,1.0539580878884813,1.0689522191248242
1:165000001-165500000,1.0230957268397771,0.9714798353026945,0.9678632215836139,0.9628163290679985
1:165500001-166000000,1.0226685065631782,1.0173674780272068,0.9944895544734418,0.9973429543904497
1:166000001-166500000,0.9889504495546058,0.8971857691903198,0.9183848429845144,0.9231550607534426
1:166500001-167000000,,,,
1:167000001-167500000,1.0158506103474336,1.0527767109255364,1.0560223150657473,1.0637698108481382
1:167500001-168000000,1.0044248815475156,1.0151805344145628,1.064483551507775,1.0611460939068953
1:168000001-168500000,0.9961334030431209,1.0410897132971004,1.053248836461795,1.0365889470180822
1:168500001-169000000,,,,
1:169000001-169500000,0.9785740687139999,0.9344901699653978,1.0520122050902383,1.001131383672688
1:169500001-170000000,,,,
1:170000001-170500000,1.0201695070616967,0.9668402074100062,0.972651757510088,1.0129951312329653
1:170500001-171000000,1.0603151490982852,1.0621844789047687,0.9966316662108765,1.0312589649625532
1:171000001-171500000,1.0218309033106048,0.9794538865459866,0.9858431918760223,0.9241874144852271
1:171500001-172000000,0.9800094379521652,1.0357106817760007,1.0257180490323101,1.0401765867287283
1:172000001-172500000,0.9692984851242936,0.9957834382562959,1.0795934577211015,1.1316163810159563
1:172500001-173000000,1.023815370368555,1.0199824565167879,1.0937853492013692,1.1124441185618192
1:173000001-173500000,0.9873280220046866,1.041180776050609,1.1020192622777234,1.1522300689544829
1:173500001-174000000,,,,
1:174000001-174500000,0.9240359273955332,1.0455458172289094,1.0801351146924763,1.0599058388099656
1:174500001-175000000,0.9545712325815942,1.0255786467136396,1.094721153385518,1.0864359352285364
1:175000001-175500000,1.0123665002055415,0.9850103686228489,0.9980581932391279,0.9834045352345235
1:175500001-176000000,1.0364671581417852,0.9894215823791653,0.982810796958485,0.8997249060138914
1:176000001-176500000,0.9877879320063256,0.9792098230784589,0.9822463839309266,0.9747654414143702
1:176500001-177000000,1.001049250799539,1.0405391102284371,0.9296878325523856,0.9023346785948174
1:177000001-177500000,1.0324091248280893,0.9931736664588473,0.9326070483961436,0.8803026050559667
1:177500001-178000000,0.9826385434148304,0.9444515562668306,0.9121318209579372,0.9556886767766299
1:178000001-178500000,0.9389972729537278,1.0228164287064663,1.0502714359737135,1.0675245901574841
1:178500001-179000000,0.9857040760504037,1.0242349274019718,0.9933026801121114,0.9688143750876822
1:179000001-179500000,0.967483484518598,1.1067657841037328,1.0343640048227034,1.0237288084368807
1:179500001-180000000,0.9926396807818869,1.0019747430983028,1.018395392699497,1.0127994615744227
1:180000001-180500000,1.0124694121888436,1.007607915971039,1.0352521550913856,1.011939430730836
1:180500001-181000000,1.0131598023817177,1.064538019112903,1.0641427572101474,1.0140417979428358
1:181000001-181500000,0.9841537984179276,1.005567665802293,0.9767473813286519,0.9346892237630099
1:181500001-182000000,0.9768985275016213,1.025512890878408,0.9334058284118507,0.9077600046085076
1:182000001-182500000,,,,
1:182500001-183000000,1.027387231279744,1.036394622656626,1.0392318407410808,1.0341420545287665
1:183000001-183500000,0.9972315093600297,1.0867719777753664,1.0025291176319338,1.045644816302187
1:183500001-184000000,0.9944507452375926,1.0150112844004229,1.0791639956028263,1.0676106519298794
1:184000001-184500000,1.0022521410829606,1.0020842185910008,1.01615392824065,1.0236865837523603
1:184500001-185000000,1.0590401066124844,1.011987374491275,1.0505551258751562,1.069506207631342
1:185000001-185500000,0.9965455119190557,0.9860322364827439,1.0580081295752084,1.064032887852204
1:185500001-186000000,1.0056378763670692,0.9951526454814453,1.053312007824602,1.05467471480966
1:186000001-186500000,1.0021604608898456,1.0176068640652545,1.03098756152632,1.0264009018119253
1:186500001-187000000,0.9828534563335662,1.0077700881933926,1.087327086582509,1.104130780615554
1:187000001-187500000,0.9886500374803698,0.9940899554205266,0.9606474192908987,0.9434092779356894
1:187500001-188000000,0.9870826046228922,0.9552613849910708,0.9159346663758905,0.9620889436367897
1:188000001-188500000,1.026415088653887,0.9640620096037962,1.0293075403482115,1.0347427885481086
1:188500001-189000000,1.0533333565720213,0.9728201234618108,0.9793716851491525,1.0490151870118538
1:189000001-189500000,1.000116177267101,0.9745239762991339,0.9800281391422934,1.0136165669445638
1:189500001-190000000,1.0441309909391752,1.0102317286741516,0.9712332888503666,0.9250875240094926
1:190000001-190500000,0.9704179763628122,1.014196480851245,1.0243373862741287,0.9777971498349632
1:190500001-191000000,1.0684206989748557,1.0133470268266758,0.983399728052234,0.986330379155108
